,Name,Location,Telephone
43,DEĞİRMENÇAYIRI MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Değirmençayırı Mahallesi / ŞİLE,T. 0 (532) 733 53 37
44,DOĞANCILI PLAJI,Doğancılı Plajı / ŞİLE,T. 
45,DUDULLU OSB İTFAİYE İSTASYONU,Yeni Sanayi Mah. Nato Yolu Cad. DES Sanayi Sitesi B Kapısı No:2 Ümraniye/ISTANBUL,T. 0 (216) 314 05 90
46,DURUSU PLAJI,Durusu Plajı / Karaburun / ARNAVUTKÖY,T. 
47,EMİNÖNÜ İTFAİYE İSTASYONU,Alemdar Mahallesi Çatal Çeşme Sokak No:56 Eminönü/Fatih,T. 0 (212) 511 32 09
48,ERENKÖY İTFAİYE İSTASYONU,Tütüncü Mehmet Efendi cd. Tazminat Sok. No:72 Erenköy Kadıköy/ISTANBUL,T. 0 (216) 350 10 31
49,ESENYURT İTFAİYE İSTASYONU,Esenyurt Örnek Mah. Ahmet Raif Cad. No:7 Avcılar /ISTANBUL,T. 0 (212) 450 15 77
50,EYÜPSULTAN İTFAİYE İSTASYONU,Rami Cuma Mah. Talimhane Caddesi No: 8 Eyüpsultan / ISTANBUL,T. 0 (212) 614 20 22
51,FATİH İTFAİYE İSTASYONU,Zeyrek Mah. İtfaiye Cad. Fatih/İSTANBUL,T. 0 (212) 635 01 10
52,FENER MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Fener Mahallesi / SİLİVRİ,T. 0 (542) 670 00 04
53,FLORYA İTFAİYE İSTASYONU,Yeşilköy Mah. Istasyon Cad. No:1 Bakırköy / ISTANBUL,T. 0 (212) 663 22 54
54,GAZİOSMANPAŞA İTFAİYE İSTASYONU,Barbaros Hayrettin Paşa Mah. 1058.Sok. No:40 Küçükköy Gaziosmanpaşa/İSTANBUL,T. 0 (212) 537 30 64
55,GEREDELİ MAHALLESİ ÖNÜLLÜ İTFAİYE İSTASYONU,Geredeli Mahallesi / ŞİLE,T. 0 (532) 494 33 75
